id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_umkm,satuan,tahun
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,506347,UNIT,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,363176,UNIT,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,338612,UNIT,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,476954,UNIT,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,349863,UNIT,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,253908,UNIT,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,188633,UNIT,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,128103,UNIT,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,341037,UNIT,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,211749,UNIT,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,156884,UNIT,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,257929,UNIT,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,229215,UNIT,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,117790,UNIT,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,315388,UNIT,2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,311927,UNIT,2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,211001,UNIT,2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,81401,UNIT,2021
154,32,JAWA BARAT,3271,KOTA BOGOR,116656,UNIT,2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,53979,UNIT,2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,464346,UNIT,2021
157,32,JAWA BARAT,3274,KOTA CIREBON,54306,UNIT,2021
158,32,JAWA BARAT,3275,KOTA BEKASI,274143,UNIT,2021
159,32,JAWA BARAT,3276,KOTA DEPOK,219238,UNIT,2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,76833,UNIT,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,123010,UNIT,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,34962,UNIT,2021
