Umkm_Bidang,Tahun,Kecamatan,Usaha_Mikro,Usaha_Kecil,Usaha_Menengah
Kuliner,2019,Denpasar Selatan,2313,80,18
Kuliner,2019,Denpasar Timur,998,44,8
Kuliner,2019,Denpasar Barat,4036,65,44
Kuliner,2019,Denpasar Utara,1982,34,13
Fashion,2019,Denpasar Selatan,1785,45,15
Fashion,2019,Denpasar Timur,907,58,10
Fashion,2019,Denpasar Barat,2998,76,20
Fashion,2019,Denpasar Utara,2163,21,3
Pendidikan,2019,Denpasar Selatan,58,8,6
Pendidikan,2019,Denpasar Timur,53,8,5
Pendidikan,2019,Denpasar Barat,100,52,17
Pendidikan,2019,Denpasar Utara,89,25,11
Otomotif,2019,Denpasar Selatan,486,28,16
Otomotif,2019,Denpasar Timur,796,22,5
Otomotif,2019,Denpasar Barat,805,32,11
Otomotif,2019,Denpasar Utara,520,23,15
Agrobisnis,2019,Denpasar Selatan,838,14,6
Agrobisnis,2019,Denpasar Timur,423,28,8
Agrobisnis,2019,Denpasar Barat,1234,50,9
Agrobisnis,2019,Denpasar Utara,3486,42,4
Internet,2019,Denpasar Selatan,296,48,18
Internet,2019,Denpasar Timur,59,24,4
Internet,2019,Denpasar Barat,363,21,4
Internet,2019,Denpasar Utara,290,26,2
Lainnya,2019,Denpasar Selatan,1030,45,4
Lainnya,2019,Denpasar Timur,453,38,5
Lainnya,2019,Denpasar Barat,1035,64,6
Lainnya,2019,Denpasar Utara,1082,29,11
